Date,Open,High,Low,Close,Adjusted_close,Volume
2016-12-08,118.11,118.84,117.05,118.79,118.79,401022
2016-12-09,119.21,119.79,118.1,118.24,118.24,482963
2016-12-12,118.36,120.48,117.77,120.29,120.29,515116
2016-12-13,120.75,121.7699,119.85,120.83,120.83,414423
2016-12-14,121.06,121.6,119.2,119.77,119.77,582014
2016-12-15,119.64,120.773,119.3,119.91,119.91,450810
2016-12-16,119.2,120.47,119.12,119.43,119.43,1208326
2016-12-19,120.21,120.48,118.82,119.03,119.03,445841
2016-12-20,119.13,119.55,118.12,118.4,118.4,441112
2016-12-21,118.66,120.1,118.66,119.56,119.56,350118
2016-12-22,119.59,120,118.92,119.09,119.09,280760
2016-12-23,119.34,120.33,119,119.88,119.88,250450
2016-12-27,120.12,120.85,119.64,119.75,119.75,268088
2016-12-28,119.79,120.895,117.59,117.75,117.75,301677
2016-12-29,117.73,118.68,117.53,118.08,118.08,430863
2016-12-30,118.61,118.935,117.15,117.27,117.27,535087
2017-01-03,118.29,119.18,117.1701,117.6,117.6,569453
2017-01-04,118.02,118.26,113.92,115.95,115.95,20606473
2017-01-05,116.15,118.36,115.9,115.96,115.96,1312358
2017-01-06,115.99,118.91,115.3,118.36,118.36,946358
2017-01-09,120.26,120.86,118.07,119.02,119.02,1038924
2017-01-10,119.14,121.81,119.11,120.71,120.71,958328
2017-01-11,120.99,121.69,119.83,121.12,121.12,700022
2017-01-12,120.83,120.83,118.71,120.64,120.64,706687
2017-01-13,120.44,121.72,120.03,120.8,120.8,651573
2017-01-17,120.88,121.535,119.43,120.01,120.01,813556
2017-01-18,120.16,120.418,118.24,118.9,118.9,730228
2017-01-19,119.24,120.49,118.4,120.28,120.28,546860
2017-01-20,120.43,120.79,118.69,118.88,118.88,605350
2017-01-23,119.02,119.22,116.54,117.74,117.74,611756
2017-01-24,118.07,118.98,117.4,118.51,118.51,466432
2017-01-25,118.84,121.47,118.65,121.4,121.4,550342
2017-01-26,120.88,121.39,118.8,119.61,119.61,762012
2017-01-27,120.02,121.78,119.65,121.66,121.66,531517
2017-01-30,121.57,121.57,119.84,120.5,120.5,789769
2017-01-31,120.51,122.47,120.23,122.33,122.33,869795
2017-02-01,122.4,123.257,121.1901,122.8,122.8,944366
2017-02-02,125.5,139.8999,125.02,139.07,139.07,2796731
2017-02-03,139.53,142.86,138.52,142.02,142.02,1758148
2017-02-06,142,142.32,140.21,142.01,142.01,1145044
2017-02-07,142.23,143.47,141.79,143.13,143.13,864817
2017-02-08,142.83,143.09,141,141.11,141.11,1358731
2017-02-09,141.39,142.54,140.86,142.11,142.11,776761
2017-02-10,142.07,142.51,141.49,141.83,141.83,435483
2017-02-13,142.73,142.9,141.32,141.7,141.7,570982
2017-02-14,141.11,142,140.63,141.6,141.6,682783
2017-02-15,140.89,142.09,140.65,141.74,141.74,859407
2017-02-16,141.93,142.38,140.99,141.95,141.95,407324
2017-02-17,141.71,142.7,141.12,142.23,142.23,426961
2017-02-21,142.3,143.06,141.52,142.4,142.4,539709
2017-02-22,142.16,143.05,141.8,142.25,142.25,584507
2017-02-23,142.63,143.56,141.8301,143.02,143.02,510486
2017-02-24,142.81,143.92,141.02,143.06,143.06,571682
2017-02-27,143.35,144.33,142.5001,143.61,143.61,573370
2017-02-28,143.94,146.17,143.8,144.94,144.94,744706
2017-03-01,145.84,148.22,145.37,147.01,147.01,796928
2017-03-02,147,147.26,145.75,146.1,146.1,523140
2017-03-03,146.66,147.67,146.22,147.13,147.13,658902
2017-03-06,146.36,147.75,145.5249,147.08,147.08,638106
2017-03-07,146.74,147.7,145.24,147.03,147.03,752590
2017-03-08,147.35,147.7,146.51,146.88,146.88,412618
2017-03-09,146.77,149.57,146.42,149.41,149.41,628446
2017-03-10,150.33,151.99,149.1,150.28,150.28,725131
2017-03-13,150.66,151.97,150.19,151.6,151.6,500890
2017-03-14,151.73,151.89,150.445,151.21,151.21,388728
2017-03-15,151.45,153.87,151.07,153.68,153.68,583579
2017-03-16,153.94,153.945,151.28,151.62,151.62,1033559
2017-03-17,151.77,152.43,151.3,151.95,151.95,3389175
2017-03-20,152.18,152.415,150.49,151.54,151.54,764524
2017-03-21,151.9,152.34,148.61,150.11,150.11,680347
2017-03-22,152.22,153.94,150.56,152.88,152.88,618481
2017-03-23,152.44,153.69,151.65,152.89,152.89,522088
2017-03-24,153.22,154.57,152.87,153.74,153.74,538419
2017-03-27,152.98,154.49,151.8048,153.96,153.96,460058
2017-03-28,153.51,154.4099,152.335,153.81,153.81,423183
2017-03-29,153.57,154.9,153.57,154.72,154.72,397978
2017-03-30,154.45,154.99,153.9,154.52,154.52,244427
2017-03-31,154,155.65,153.69,154.61,154.61,466473
